Date,Ticker,Open,High,Low,Close,Volume
2024-02-01,AAPL,183.0930302345012,190.11860938477272,178.3761328859448,179.8688201904297,1161627000
2024-03-01,AAPL,178.90266773188267,179.87913026066383,167.88254501002365,170.86175537109375,1432782800
2024-04-01,AAPL,170.57281191937307,177.71696012716552,163.48844496125454,169.71591186523438,1245717000
2024-05-01,AAPL,168.9686048463997,192.30416548670655,168.50029814937872,191.55686950683594,1336537700
2024-06-01,AAPL,192.46521680216347,219.70368840561983,191.7169072263784,210.14527893066406,1723984500
2024-07-01,AAPL,211.6119782112167,236.69531592129363,211.4423631919138,221.5794677734375,1153099800
2024-08-01,AAPL,223.86430185077523,232.39503459426916,195.5582480618006,228.48387145996094,1122667000
2024-09-01,AAPL,228.298835682278,232.83383969623443,213.6849085933523,232.7439422607422,1232140300
2024-10-01,AAPL,229.26776111436263,237.22900328034052,221.08675950966864,225.66172790527344,930736000
2024-11-01,AAPL,220.72716188425724,237.54865157638667,219.4685520732093,237.06918334960938,891640600
2024-12-01,AAPL,237.27000427246094,260.1000061035156,237.16000366210938,250.4199981689453,977916100
2025-01-01,AAPL,248.92999267578125,249.10000610351562,219.3800048828125,238.3000030517578,870497256
2024-02-01,GOOGL,141.60666871125525,148.9002367364293,134.92091322518792,137.95989990234375,647669400
2024-03-01,GOOGL,137.92999122518748,151.71003985720216,130.1980253878257,150.3848419189453,672605900
2024-04-01,GOOGL,150.14571912792314,174.07896457562146,149.05965979188306,162.19204711914062,659471000
2024-05-01,GOOGL,163.7065443995719,178.12427935574635,162.4610594531413,171.87692260742188,542406800
2024-06-01,GOOGL,171.91677628340042,185.37798769432132,170.54177120226996,181.4920654296875,461090300
2024-07-01,GOOGL,182.57818903328322,191.2766649217291,163.65501528070317,171.11654663085938,526128300
2024-08-01,GOOGL,169.82975220018693,173.6203752641516,154.54756102499096,162.97671508789062,550739500
2024-09-01,GOOGL,161.32080264219923,165.73986007950901,146.85659524264824,165.44061279296875,532616600
2024-10-01,GOOGL,167.4980403871689,181.81163804058232,159.55714414691852,170.91412353515625,569309100
2024-11-01,GOOGL,169.87532004334454,182.28110044567703,163.5126017232616,168.756591796875,529990600
2024-12-01,GOOGL,168.57680111569906,201.1894182169629,168.3770331183413,189.0832977294922,645610200
2025-01-01,GOOGL,190.64999389648438,202.2899932861328,187.36000061035156,194.9600067138672,370991077
2024-02-01,AMZN,155.8699951171875,177.22000122070312,155.6199951171875,176.75999450683594,1045061200
2024-03-01,AMZN,176.75,181.6999969482422,171.47000122070312,180.3800048828125,701928900
2024-04-01,AMZN,180.7899932861328,189.77000427246094,166.32000732421875,175.0,917021100
2024-05-01,AMZN,181.63999938964844,191.6999969482422,173.8699951171875,176.44000244140625,892301700
2024-06-01,AMZN,177.6999969482422,199.83999633789062,175.9199981689453,193.25,813276000
2024-07-01,AMZN,193.49000549316406,201.1999969482422,176.8000030517578,186.97999572753906,868061100
2024-08-01,AMZN,189.2899932861328,190.60000610351562,151.61000061035156,178.5,971023900
2024-09-01,AMZN,177.5500030517578,195.3699951171875,171.16000366210938,186.3300018310547,765028800
2024-10-01,AMZN,184.89999389648438,195.61000061035156,180.25,186.39999389648438,733878800
2024-11-01,AMZN,199.0,215.89999389648438,194.30999755859375,207.88999938964844,905937900
2024-12-01,AMZN,209.9600067138672,233.0,209.50999450683594,219.38999938964844,760891000
2025-01-01,AMZN,222.02999877929688,241.77000427246094,216.1999969482422,240.8699951171875,489616321
2024-02-01,TSLA,188.5,205.60000610351562,175.00999450683594,201.8800048828125,2019907700
2024-03-01,TSLA,200.52000427246094,204.52000427246094,160.50999450683594,175.7899932861328,1898904200
2024-04-01,TSLA,176.1699981689453,198.8699951171875,138.8000030517578,183.27999877929688,2478540800
